config_id,model_family,fold,fit_seconds,train_rows,validation_rows,train_late_rate,validation_late_rate,pr_auc,roc_auc,precision,recall,f1,accuracy,positive_rate,threshold
xgboost_01,xgboost,3,1.9645421690001967,61487,10248,0.08953112039943403,0.07542935206869633,0.2561692098277962,0.7710677994449887,0.09104552276138068,0.9417852522639069,0.1660394571786977,0.28639734582357534,0.7802498048399688,0.5
xgboost_01,xgboost,4,2.688674862998596,71735,10247,0.08751655398341117,0.05787059627207963,0.17680843456567183,0.7782867310110253,0.2,0.32040472175379425,0.24627349319507452,0.8865033668390748,0.09271006148140919,0.5
xgboost_02,xgboost,1,3.4226057690029847,40991,10248,0.06681954575394598,0.0625487900078064,0.11078755023921698,0.6429177600121596,0.10481163744871316,0.43837753510140404,0.1691751956652619,0.7306791569086651,0.2616120218579235,0.5
xgboost_02,xgboost,2,3.2333668840001337,51239,10248,0.06596537793477625,0.20735753317720532,0.35650029667135763,0.685719967267961,0.32778489116517284,0.6023529411764705,0.42454394693200664,0.6613973458235753,0.38104996096799376,0.5
xgboost_02,xgboost,3,2.4209390789983445,61487,10248,0.08953112039943403,0.07542935206869633,0.2480602707584319,0.7638641212150175,0.09235466225671034,0.9391979301423027,0.16817234190410008,0.29918032786885246,0.7670765027322405,0.5
xgboost_02,xgboost,4,2.7012886379961856,71735,10247,0.08751655398341117,0.05787059627207963,0.18234017399436458,0.7840356433789557,0.19439252336448598,0.35075885328836426,0.25015033072760073,0.8783058456133502,0.10442080608958719,0.5
xgboost_03,xgboost,1,1.6545121340022888,40991,10248,0.06681954575394598,0.0625487900078064,0.10523887403920154,0.6419659222092835,0.10752118644067797,0.3166926677067083,0.1605377619612495,0.7928376268540203,0.18423106947697113,0.5
xgboost_03,xgboost,2,1.8374853060013265,51239,10248,0.06596537793477625,0.20735753317720532,0.3738055933056219,0.6926144064421288,0.34319863403528744,0.5675294117647058,0.42773541408051075,0.6851092896174863,0.34289617486338797,0.5
xgboost_03,xgboost,3,2.357765153996297,61487,10248,0.08953112039943403,0.07542935206869633,0.2498849129828009,0.7697492209020128,0.10380881254667662,0.8990944372574385,0.18612747723620782,0.4069086651053864,0.6532982045277127,0.5
xgboost_03,xgboost,4,3.1373813730024267,71735,10247,0.08751655398341117,0.05787059627207963,0.17776178515125984,0.7748554452872071,0.22857142857142856,0.26981450252951095,0.24748646558391338,0.9050453791353567,0.06831267688103836,0.5
xgboost_04,xgboost,1,1.8122455980046652,40991,10248,0.06681954575394598,0.0625487900078064,0.10427011845121648,0.6356103770537831,0.11168831168831168,0.33541341653666146,0.16757599376461418,0.7915690866510539,0.1878415300546448,0.5
xgboost_04,xgboost,2,1.7535513740003807,51239,10248,0.06596537793477625,0.20735753317720532,0.36217037096588606,0.682181315219674,0.35794871794871796,0.49270588235294116,0.41465346534653463,0.7115534738485558,0.2854215456674473,0.5
xgboost_04,xgboost,3,2.337682338002196,61487,10248,0.08953112039943403,0.07542935206869633,0.23961537539297806,0.7586059180726841,0.10865710140254715,0.871927554980595,0.19323394495412843,0.45081967213114754,0.6052888368462139,0.5
xgboost_04,xgboost,4,2.5614375450022635,71735,10247,0.08751655398341117,0.05787059627207963,0.1803497034583726,0.7670509231553401,0.22251308900523561,0.2866779089376054,0.2505526897568165,0.9007514394456915,0.07455840733873328,0.5
xgboost_05,xgboost,1,1.9198294579982758,40991,10248,0.06681954575394598,0.0625487900078064,0.10971719444758848,0.6397942250572296,0.10322079937912301,0.41497659906396256,0.16532007458048478,0.7379000780640125,0.251463700234192,0.5
xgboost_05,xgboost,2,2.267918488003488,51239,10248,0.06596537793477625,0.20735753317720532,0.37293638592014877,0.6953520794258858,0.3319786639573279,0.6150588235294118,0.43121082151105244,0.663544106167057,0.38417252146760345,0.5
xgboost_05,xgboost,3,2.9950391169986688,61487,10248,0.08953112039943403,0.07542935206869633,0.24554504379837117,0.7648032030911331,0.08969935929029078,0.9417852522639069,0.16379795252559343,0.27468774395003903,0.7919594067135051,0.5
xgboost_05,xgboost,4,7.298744694999186,71735,10247,0.08751655398341117,0.05787059627207963,0.17728882982828417,0.777097960425669,0.18322698268003645,0.33895446880269814,0.2378698224852071,0.8743046745388894,0.10705572362642725,0.5
xgboost_06,xgboost,1,2.540708470995014,40991,10248,0.06681954575394598,0.0625487900078064,0.11212649022842547,0.6342908114159478,0.10188034188034188,0.46489859594383776,0.16713404374649468,0.7101873536299765,0.2854215456674473,0.5
xgboost_06,xgboost,2,2.8954450849996647,51239,10248,0.06596537793477625,0.20735753317720532,0.36191448339730964,0.6852337951061256,0.328422180551835,0.5769411764705883,0.4185728917719358,0.6676424668227947,0.3642661982825917,0.5
xgboost_06,xgboost,3,3.3192407809983706,61487,10248,0.08953112039943403,0.07542935206869633,0.23933675607104146,0.7569858038618684,0.0932413074619091,0.926261319534282,0.16942735447231425,0.3149882903981265,0.7493169398907104,0.5
xgboost_06,xgboost,4,2.7978914130071644,71735,10247,0.08751655398341117,0.05787059627207963,0.183233920202719,0.7803325588114356,0.19386834986474302,0.3625632377740304,0.2526439482961222,0.8758661071533131,0.10822679808724504,0.5
xgboost_07,xgboost,1,2.3492231509953854,40991,10248,0.06681954575394598,0.0625487900078064,0.1053971263076749,0.6405078395287367,0.10976253298153034,0.3244929797191888,0.1640378548895899,0.7931303669008587,0.18491412958626074,0.5
xgboost_07,xgboost,2,2.9146855840008357,51239,10248,0.06596537793477625,0.20735753317720532,0.3730761869769096,0.6915054275803636,0.34553089382123575,0.5421176470588235,0.4220553214874519,0.6921350507416081,0.3253317720530835,0.5
xgboost_07,xgboost,3,3.5449807990007685,61487,10248,0.08953112039943403,0.07542935206869633,0.2442589608012062,0.7656226810528148,0.1053279950723745,0.8848641655886158,0.188248245493326,0.42437548790007806,0.6336846213895394,0.5
xgboost_07,xgboost,4,4.21377279599983,71735,10247,0.08751655398341117,0.05787059627207963,0.18008914626343217,0.7703975774268613,0.2338935574229692,0.28161888701517707,0.25554705432287683,0.9050453791353567,0.06967893041865912,0.5
xgboost_08,xgboost,1,2.2861623169956147,40991,10248,0.06681954575394598,0.0625487900078064,0.10276365556399393,0.6232695315931718,0.1109701965757768,0.27301092043681746,0.15779981965734896,0.817720530835285,0.15388368462138954,0.5
xgboost_08,xgboost,2,3.6210987720041885,51239,10248,0.06596537793477625,0.20735753317720532,0.35169705474326524,0.6760509808749303,0.36132113012335854,0.4272941176470588,0.39154808106942646,0.7246291959406713,0.24521857923497267,0.5
xgboost_08,xgboost,3,4.186714691997622,61487,10248,0.08953112039943403,0.07542935206869633,0.22930491820340854,0.7481836520836819,0.11268334771354616,0.8447606727037517,0.19884287454323996,0.48653395784543324,0.5654761904761905,0.5
xgboost_08,xgboost,4,4.788247167998634,71735,10247,0.08751655398341117,0.05787059627207963,0.17398470764559906,0.7600861651244354,0.22142857142857142,0.26138279932546377,0.2397525135344161,0.9040694837513419,0.06831267688103836,0.5
